Date,Close/Last,Volume,Open,High,Low
6/17/2019,$350.62 ,5358219,$342.69 ,$351.77 ,$342.06 
6/14/2019,$339.73 ,5019011,$341.63 ,$343.40 ,$336.16 
6/13/2019,$343.43 ,6209347,$347.23 ,$348.50 ,$339.25 
6/12/2019,$345.56 ,4584704,$351.82 ,$353.61 ,$343.23 
6/11/2019,$351.27 ,5396712,$355 ,$357.58 ,$348.50 
6/10/2019,$352.01 ,7810261,$363.65 ,$367.10 ,$349.29 
6/7/2019,$360.87 ,4777321,$357.39 ,$365.15 ,$355.69 
6/6/2019,$357.13 ,3709955,$354.84 ,$358.21 ,$352.09 
6/5/2019,$355.73 ,5020081,$354.38 ,$357.88 ,$348.71 
6/4/2019,$353.40 ,7891632,$345 ,$353.61 ,$343.25 
6/3/2019,$336.63 ,7849589,$343.56 ,$347.66 ,$332.65 
5/31/2019,$343.28 ,5023449,$347.22 ,$349.34 ,$342.92 
5/30/2019,$351.85 ,4008042,$350.55 ,$354.21 ,$348.30 
5/29/2019,$349.19 ,5658913,$353.60 ,$353.85 ,$345.90 
5/28/2019,$354.78 ,4717144,$354.39 ,$361.20 ,$353.64 
5/24/2019,$354.39 ,3830963,$355.41 ,$359.44 ,$353.79 
5/23/2019,$352.21 ,5630443,$355.50 ,$357.42 ,$347.70 
5/22/2019,$359.73 ,6229389,$358.01 ,$370.46 ,$357.30 
5/21/2019,$354.27 ,4026369,$350.95 ,$356.43 ,$349.93 
5/20/2019,$348.11 ,4621515,$351.23 ,$352.42 ,$345.40 
5/17/2019,$354.45 ,4725448,$356.39 ,$359.62 ,$353.79 
5/16/2019,$359.31 ,6441463,$356.37 ,$364 ,$353.94 
5/15/2019,$354.99 ,6340118,$343.34 ,$356.50 ,$341.39 
5/14/2019,$345.61 ,5353029,$348.71 ,$349.95 ,$342.50 
5/13/2019,$345.26 ,8026697,$352.29 ,$354.26 ,$343.10 
5/10/2019,$361.04 ,5657123,$361.62 ,$365.26 ,$353.06 
5/9/2019,$362.75 ,5882572,$360.90 ,$364.20 ,$352.75 
5/8/2019,$364.37 ,6571957,$367.92 ,$369 ,$361.36 
5/7/2019,$370.46 ,6974924,$377 ,$379.91 ,$365.81 
5/6/2019,$378.67 ,5793144,$377.69 ,$381.35 ,$376 
5/3/2019,$385.03 ,5130301,$381.53 ,$385.03 ,$378.27 
5/2/2019,$379.06 ,5398167,$378 ,$383.50 ,$374.51 
5/1/2019,$378.81 ,9257284,$374 ,$385.99 ,$373.17 
4/30/2019,$370.54 ,3863973,$369.56 ,$374.50 ,$368.35 
4/29/2019,$371.83 ,3764911,$373.68 ,$374.58 ,$369.12 
4/26/2019,$374.85 ,5615814,$368.35 ,$375.14 ,$366.24 
4/25/2019,$368.33 ,6242518,$374.49 ,$374.76 ,$365.70 
4/24/2019,$374.23 ,6519978,$381.07 ,$381.90 ,$373.27 
4/23/2019,$381.89 ,9992022,$375.45 ,$384.80 ,$374.71 
4/22/2019,$377.34 ,11959940,$359.70 ,$377.69 ,$359 
4/18/2019,$360.35 ,8346470,$355 ,$360.41 ,$351.64 
4/17/2019,$354.74 ,18009350,$365.05 ,$368.76 ,$350.60 
4/16/2019,$359.46 ,18416450,$355 ,$364.48 ,$352.72 
4/15/2019,$348.87 ,8819081,$350.71 ,$352.21 ,$342.27 
4/12/2019,$351.14 ,15605580,$360.69 ,$361.75 ,$349.36 
4/11/2019,$367.65 ,6416155,$365 ,$370.12 ,$360.81 
4/10/2019,$363.92 ,4537963,$365.79 ,$368.85 ,$362.25 
4/9/2019,$364.71 ,5431467,$360.54 ,$366.74 ,$359 
4/8/2019,$361.41 ,4648877,$365.11 ,$365.94 ,$359.93 
4/5/2019,$365.49 ,3898888,$369 ,$369.80 ,$364.66 
4/4/2019,$367.88 ,4621965,$370.07 ,$372.05 ,$362.40 
4/3/2019,$369.75 ,5366498,$369.26 ,$373.41 ,$366.19 
4/2/2019,$367.72 ,5114466,$366.25 ,$368.42 ,$362.22 
4/1/2019,$366.96 ,6974045,$359 ,$368.33 ,$358.51 
3/29/2019,$356.56 ,4700683,$357.16 ,$358.25 ,$353.71 
3/28/2019,$354.61 ,4349820,$354.49 ,$355.94 ,$349.20 
3/27/2019,$353.37 ,7826426,$361 ,$362.47 ,$350.37 
3/26/2019,$359.97 ,7648249,$367.87 ,$368.38 ,$358.02 
3/25/2019,$366.23 ,8464512,$359 ,$367.04 ,$357.44 
3/22/2019,$361.01 ,8627185,$375.95 ,$376.43 ,$360.04 
3/21/2019,$377.87 ,8522990,$374 ,$379 ,$370.61 
3/20/2019,$375.22 ,10784680,$358.91 ,$375.90 ,$357.01 
3/19/2019,$358.78 ,7234757,$366.40 ,$366.96 ,$356.80 
3/18/2019,$363.44 ,7187742,$362.47 ,$370.97 ,$361.86 
3/15/2019,$361.46 ,8438090,$361.02 ,$364 ,$358.89 
3/14/2019,$358.82 ,5263947,$360.50 ,$363.84 ,$358.10 
3/13/2019,$361.21 ,6399141,$355.81 ,$362.48 ,$352.77 
3/12/2019,$356.27 ,5161706,$359.37 ,$360.13 ,$353.80 
3/11/2019,$358.86 ,5342609,$352 ,$358.98 ,$350.03 
3/8/2019,$349.60 ,6891251,$345.75 ,$349.92 ,$342.47 
3/7/2019,$352.60 ,6144401,$360.16 ,$362.86 ,$350.50 
3/6/2019,$359.61 ,6194189,$353.60 ,$359.88 ,$351.70 
3/5/2019,$354.30 ,5919936,$351.46 ,$356.17 ,$348.25 
3/4/2019,$351.04 ,7478914,$359.72 ,$362.25 ,$348.04 
3/1/2019,$357.32 ,5466102,$362.26 ,$362.87 ,$354.69 
2/28/2019,$358.10 ,6157285,$362.47 ,$366.39 ,$357.71 
2/27/2019,$362.87 ,5621615,$363.50 ,$368.03 ,$359.80 
2/26/2019,$364.97 ,4924616,$362.98 ,$365.70 ,$359.33 
2/25/2019,$363.91 ,7537507,$367.01 ,$371.49 ,$363.79 
2/22/2019,$363.02 ,7077753,$360.34 ,$366.13 ,$360.05 
2/21/2019,$356.97 ,6217185,$360.03 ,$362.85 ,$353.88 
2/20/2019,$359.91 ,8101412,$364.85 ,$366.71 ,$356.70 
2/19/2019,$361.92 ,7379683,$355.80 ,$365 ,$355.32 
2/15/2019,$356.87 ,9218066,$358.47 ,$364.40 ,$355.50 
2/14/2019,$359.07 ,9280393,$351.75 ,$360.45 ,$348.33 
2/13/2019,$351.77 ,10529710,$357.30 ,$359.60 ,$350.28 
2/12/2019,$359.97 ,10388190,$348.09 ,$360 ,$346.52 
2/11/2019,$345.73 ,5438119,$350 ,$352.87 ,$344.81 
2/8/2019,$347.57 ,7550268,$338 ,$348 ,$338 
2/7/2019,$344.71 ,7850353,$347.90 ,$348.75 ,$339.02 
2/6/2019,$352.19 ,6707279,$357 ,$357.04 ,$347.19 
2/5/2019,$355.81 ,9030720,$353.20 ,$360 ,$352.90 
2/4/2019,$351.34 ,9024097,$342.60 ,$352 ,$341.30 
2/1/2019,$339.85 ,9822615,$337.18 ,$346.84 ,$336.50 
1/31/2019,$339.50 ,8493725,$339.68 ,$345.99 ,$338.09 
1/30/2019,$340.66 ,9081266,$332.75 ,$341.78 ,$330.80 
1/29/2019,$328.90 ,7619808,$335.87 ,$338.22 ,$328.15 
1/28/2019,$335.66 ,8639403,$334.70 ,$336.30 ,$328.88 
1/25/2019,$338.05 ,11147040,$328.72 ,$340 ,$328.51 
1/24/2019,$326.67 ,11115040,$320.60 ,$331.80 ,$319 
1/23/2019,$321.99 ,13456260,$328.25 ,$331.75 ,$318.60 
1/22/2019,$325.16 ,17909440,$334.89 ,$336.88 ,$321.03 
1/18/2019,$339.10 ,26583340,$351.97 ,$353 ,$336.73 
1/17/2019,$353.19 ,18238350,$349.50 ,$355.79 ,$346.41 
1/16/2019,$351.39 ,15345670,$354 ,$358.85 ,$348.11 
1/15/2019,$354.64 ,21133450,$349.60 ,$357.22 ,$347 
1/14/2019,$332.94 ,10460420,$334.24 ,$335.48 ,$329.13 
1/11/2019,$337.59 ,19458690,$330.96 ,$341.09 ,$328.52 
1/10/2019,$324.66 ,13398180,$314.57 ,$325.37 ,$312.50 
1/9/2019,$319.96 ,13307980,$317.71 ,$323.35 ,$313.50 
1/8/2019,$320.27 ,15279550,$319.98 ,$320.59 ,$308.01 
1/7/2019,$315.34 ,18586260,$302.10 ,$316.80 ,$301.65 
1/4/2019,$297.57 ,19299450,$281.88 ,$297.80 ,$278.54 
1/3/2019,$271.20 ,14946970,$270.20 ,$275.79 ,$264.43 
1/2/2019,$267.66 ,11612970,$259.28 ,$269.75 ,$256.58 
12/31/2018,$267.66 ,13496880,$260.16 ,$270.10 ,$260 
12/28/2018,$256.08 ,10972920,$257.94 ,$261.91 ,$249.80 
12/27/2018,$255.57 ,12124430,$250.11 ,$255.59 ,$240.10 
